region,Resource,cluster,R_ID,zone,voltage_level,CapRes_1,THERM,DISP,NDISP,STOR,DR,HEAT,NACC,TRADER,HYDRO,Commit,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_size,Min_Cap_MW,Max_Cap_MW,Min_Share_percent,Max_Share_percent,capex,Inv_cost_per_MWyr,Fixed_OM_cost_per_MWyr,capex_mwh,Inv_cost_per_MWhyr,Fixed_OM_cost_per_MWhyr,Var_OM_cost_per_MWh,Var_OM_cost_per_MWh_in,Externality_cost_MWh,Start_cost_per_MW,Start_fuel_MMBTU_per_MW,Heat_rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_power,Self_disch,Eff_up,Eff_down,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_DSM_delay,Ramp_Up_percentage,Ramp_Dn_percentage,Up_time,Down_time,NACC_Eff,NACC_Peak_to_Base,Reg_Up,Reg_Dn,Rsv_Up,Rsv_Dn,Reg_Cost,Rsv_Cost,spur_miles,spur_line_capex,interconnect_annuity,Power_uprate_cost_per_MWyr,Max_Uprate_MW,Hydro_level,Existing_Charge_Cap_MW,Existing_cap_MWh,RPS_1,RPS_2,RPS_3,RPS_4,RPS_5,RPS_6,RPS_7
PJM_WEST,natural_gas_fired_combined_cycle,2,115,12,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,15873.48,36,15873.408,0,440.93,0,0,0,0,0,0,10620.434,0,0,0,3.4,0,0,87,2,6.76,0.677,0.341,east_north_central_naturalgas,0.364,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_WEST,natural_gas_fired_combustion_turbine,1,116,12,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,11764.48,91,11764.844,0,129.28,0,0,0,0,0,0,7162,0,0,0,10.8,0,0,113,3.5,12.18,1.827,1.767,east_north_central_naturalgas,0.472,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_WEST,natural_gas_fired_combustion_turbine,2,117,12,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,683.25,25,683.2,0,27.33,0,0,0,0,0,0,11182,0,0,0,10.8,0,0,113,3.5,13.24,3.685,3.813,east_north_central_naturalgas,0.367,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_WEST,natural_gas_fired_combustion_turbine,3,118,12,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,33,1,33,0,33,0,0,0,0,0,0,11182,0,0,0,10.8,0,0,113,3.5,16.84,0,0,east_north_central_naturalgas,0.758,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_WEST,natural_gas_fired_combustion_turbine,4,119,12,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,1144.08,24,1144.008,0,47.67,0,0,0,0,0,0,8832,0,0,0,10.8,0,0,113,3.5,11.78,5.751,2.804,east_north_central_naturalgas,0.489,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_WEST,natural_gas_fired_combustion_turbine,5,120,12,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,99.42,6,99.402,0,16.57,0,0,0,0,0,0,11182,0,0,0,10.8,0,0,113,3.5,2.09,7.301,4.647,east_north_central_naturalgas,0.576,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_WEST,natural_gas_fired_combustion_turbine,6,121,12,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,636.48,8,636.496,0,79.56,0,0,0,0,0,0,7501.772,0,0,0,10.8,0,0,113,3.5,27.31,0.542,1.004,east_north_central_naturalgas,0.437,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_WEST,nuclear,1,122,12,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,3546,3,3546,0,1182,0,0,0,0,0,0,100888,0,0,0,2.3,0,0,235,0,10.46,0,0,east_north_central_uranium,0.5,0,1,1,1,0,0,0,0.25,0.25,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
PJM_WEST,onshore_wind_turbine,1,123,12,trans,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,2652.1,1,189.2,0,1,0,0,0,0,0,0,43205,0,0,0,0,0,0,0,0,9.21,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
PJM_WEST,small_hydroelectric,1,124,12,trans,0,0,0,1,0,0,0,0,0,0,0,0,0,0,91.08,138,239.292,-1,1,0,0,0,0,0,0,44560,0,0,0,0,0,0,0,0,9.12,0,0.001,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
PJM_WEST,solar_photovoltaic,1,125,12,trans,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,130.4,41,463.095,0,1,0,0,0,0,0,0,17943,0,0,0,0,0,0,0,0,9.18,0.001,0.033,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
PJM_WestMAC,conventional_hydroelectric,1,126,13,trans,0,0,0,0,0,0,0,0,0,1,0,0,0,0,743.82,33,743.688,-1,1,0,0,0,0,0,0,44560,0,0,0,0,0,0,0,0,9.12,0,0,None,0,0,1,1,1,0,0,0,0.083,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,1
PJM_WestMAC,conventional_steam_coal,1,127,13,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,206,4,206,0,51.5,0,0,0,0,0,0,71195.049,0,0,0,1.8,0,0,117,13.7,15.98,0.32,0.335,middle_atlantic_coal,0.65,0,1,1,1,0,0,0,0.57,0.57,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_WestMAC,conventional_steam_coal,2,128,13,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,7370.1,10,7370.1,0,737.01,0,0,0,0,0,0,58003.303,0,0,0,1.8,0,0,117,13.7,10.34,1.337,1.031,middle_atlantic_coal,0.425,0,1,1,1,0,0,0,0.57,0.57,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_WestMAC,conventional_steam_coal,3,129,13,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,33.1,1,33.1,0,33.1,0,0,0,0,0,0,71266,0,0,0,1.8,0,0,117,13.7,26.14,0,0,middle_atlantic_coal,0.272,0,1,1,1,0,0,0,0.57,0.57,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_WestMAC,conventional_steam_coal,4,130,13,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,678.7,5,678.7,0,135.74,0,0,0,0,0,0,72689.742,0,0,0,1.8,0,0,117,13.7,12.9,0.694,0.922,middle_atlantic_coal,0.526,0,1,1,1,0,0,0,0.57,0.57,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_WestMAC,hydroelectric_pumped_storage,1,131,13,trans,0,0,0,0,1,0,0,0,0,0,0,0,0,0,513,3,513,0,1,0,0,0,0,0,0,38460,0,0,0,0,0,0,0,0,0,0,0,None,0.363,0,0.866,0.866,0.0063,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_WestMAC,natural_gas_fired_combined_cycle,1,132,13,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,11612.24,23,11612.309,0,504.88,0,0,0,0,0,0,10808.968,0,0,0,3.414,0,0,87,2,7.1,1.305,2.339,middle_atlantic_naturalgas,0.541,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
